10 0.575 27.01
20 0.5875 49.84 
30 0.5925 72.82
40 0.615 94.56
50 0.6025 117.43
60 0.6025 139.97
70 0.635 162.77
80 0.6625 185.52
90 0.675 216.56
100 0.6875 235.78  
